의료기관명,의료기관주소(도로명),의료기관전화번호,법정동,진료과
삼성앤유외과의원,"경기도 성남시 수정구 위례서일로 46, 위례엘포트한라비발디 2층 202,203호 (창곡동)",031-755-6875,창곡동,외과
고등연세이비인후과의원,"경기도 성남시 수정구 청계산로 695, 303-304호 (고등동)",,고등동,이비인후과
바른모양치과의원,"경기도 성남시 수정구 수정로 108, 2,3층 (수진동)",031-8039-6543,수진동,치과
분당서울마취통증의학과의원,"경기도 성남시 수정구 수정로 286, 정인빌딩 4층 (신흥동)",031-742-7588,신흥동,마취통증의학과
연세정석정형외과의원,"경기도 성남시 수정구 수정로 115-1, 주민신협행복빌딩 2층 (태평동)",031-721-8275,태평동,외과
연세온가족소아청소년과의원,"경기도 성남시 수정구 수정로 286, 정인빌딩 3층 (신흥동)",031-778-7515,신흥동,소아청소년과
위례퍼스트정형외과의원,"경기도 성남시 수정구 위례광장로 300, 창곡동 509번지 5층 504,505호 (창곡동)",031-8039-7560,창곡동,외과
맑은빛피부과의원,"경기도 성남시 수정구 수정로 284, 도일빌딩 2층 (신흥동)",031-8039-7540,신흥동,피부과
고등탑내과의원,"경기도 성남시 수정구 고등로 3, 현대지식산업센터 성남고등 C동 105호 (고등동)",031-778-6418,고등동,내과
연세꿈꾸는아이치과의원,"경기도 성남시 수정구 희망로 551, 502,504,505호 (신흥동)",031-733-2275,신흥동,치과
언제나봄산부인과의원,"경기도 성남시 수정구 희망로 551, 2층 202,204,205호 (신흥동)",031-778-6700,신흥동,산부인과
산성베스트내과의원,"경기도 성남시 수정구 희망로 551, 4층 (신흥동)",031-8039-6006,신흥동,내과
마음공원정신건강의학과의원,"경기도 성남시 수정구 위례동로 153, 에이플타워 5층 506호 (창곡동)",031-609-7071,창곡동,정신건강의학과
연세온탑치과의원,"경기도 성남시 수정구 산성대로 265, 2층 (신흥동)",031-609-2828,신흥동,치과
성남삼성치과의원,"경기도 성남시 수정구 수정로 128, 10층 (수진동)",,수진동,치과
연세웰드림내과의원,"경기도 성남시 수정구 위례서일로 46, 위례엘포트한라비발디 2층 208,209,210호 (창곡동)",031-8039-6775,창곡동,내과
성남근본마취통증의학과의원,"경기도 성남시 수정구 수정로 128, 4,5층 (수진동)",031-758-7580,수진동,마취통증의학과
산성예스치과의원,"경기도 성남시 수정구 희망로 551, C1블럭동 3층 302호, 305호 (신흥동)",031-747-2833,신흥동,치과
구름별소아청소년과의원,"경기도 성남시 수정구 희망로 551, C1블럭동 3층 303호, 304호 (신흥동)",031-743-7890,신흥동,소아청소년과
1퍼센트 치과의원,"경기도 성남시 수정구 수정로 286, 정인빌딩 2층, 3층일부호 (신흥동)",031-778-6868,신흥동,치과
위례밝은성모안과의원,"경기도 성남시 수정구 위례광장로 310, 우성트램타워 B동 301호 (창곡동)",031-752-9881,창곡동,안과
서울박사치과의원,"경기도 성남시 수정구 수정로 326, 3층 (산성동)",031-747-2884,산성동,치과
금토정성치과의원,"경기도 성남시 수정구 금토로80번길 51, 2층 203호 (금토동)",031-709-2888,금토동,치과
보아스이비인후과의원,"경기도 성남시 수정구 위례광장로 5, 남위례역아이파크 309,310일부호 (창곡동)",031-722-5200,창곡동,이비인후과
위례 애플산부인과의원,"경기도 성남시 수정구 위례광장로 322, 아이플렉스 205-206호 (창곡동)",031-722-5680,창곡동,산부인과
원데이항외과의원,"경기도 성남시 수정구 산성대로 241, 비와이씨 2층 202호 (신흥동)",031-753-7577,신흥동,외과
한양류마정내과의원,"경기도 성남시 수정구 위례광장로 9-9, 남위례역 푸르지오 시티 206,207호 (창곡동)",031-723-8875,창곡동,내과
위례닥터스피부과의원,"경기도 성남시 수정구 위례광장로 320, 아이에스센트럴타워 403~405호 (창곡동)",031-754-7975,창곡동,피부과
바른힐정형외과의원,"경기도 성남시 수정구 수정로 106, 수진동 SR프라자 8,9층 (수진동)",031-606-8888,수진동,외과
양지바른정형외과의원,"경기도 성남시 수정구 산성대로 531, 6,7층 (양지동)",031-608-0123,양지동,외과
연세솔내과의원,"경기도 성남시 수정구 산성대로 223, 일문파이낸스빌딩 5층 (신흥동)",031-602-0500,신흥동,내과
여름안과의원,"경기도 성남시 수정구 수정로 341, 산성역포레스티아아파트 동문상가동 301,302호 (신흥동)",031-731-1760,신흥동,안과
서울아산센트럴치과의원,"경기도 성남시 수정구 산성대로 531, 4,5층 (양지동)",031-747-2080,양지동,치과
위례편한정신건강의학과의원,"경기도 성남시 수정구 위례광장로 320, 아이에스센트럴타워 201호 (창곡동)",031-723-5831,창곡동,정신건강의학과
이안정형외과의원,"경기도 성남시 수정구 산성대로 305, 219-224호 (신흥동, 삼부르네상스파크Ⅱ)",031-698-4151,,외과
위례서울소아청소년과의원,"경기도 성남시 수정구 위례동로 135-6, 이너매스 위례 401호 (창곡동)",031-606-7001,창곡동,소아청소년과
오아로피부과의원,"경기도 성남시 수정구 산성대로 267, 223-230호 (신흥동)",031-749-5151,신흥동,피부과
위례성형외과의원,"경기도 성남시 수정구 위례서일로 22, 이너매스우남 709호 (창곡동)",031-721-0706,창곡동,외과
더한스피부과의원,"경기도 성남시 수정구 수정로 69, 대명빌딩 2,4층 (태평동)",031-605-7579,태평동,피부과
서울룬치과의원,"경기도 성남시 수정구 수정로 170, 2,3층 (신흥동)",031-697-8875,신흥동,치과
신흥미치과의원,"경기도 성남시 수정구 산성대로 305, 201,202,225호 (신흥동, 삼부르네상스파크Ⅱ)",031-722-2275,,치과
이스턴치과교정과치과의원,"경기도 성남시 수정구 산성대로295번길 1, 5층 (신흥동)",031-736-2276,신흥동,치과
태평가이드치과의원,"경기도 성남시 수정구 수정로 118, 나눔빌딩 5층 (수진동)",031-751-7528,수진동,치과
윤사랑외과의원,"경기도 성남시 수정구 산성대로295번길 1, 3층 (신흥동)",031-741-1020,신흥동,외과
서울마디튼튼재활의학과의원,"경기도 성남시 수정구 수정로 291, 산성역포레스티아아파트 4층 401~404,408호 (신흥동)",031-778-7177,신흥동,재활의학과
아폴로신경외과의원,"경기도 성남시 수정구 창업로 18, 3층 302호 (시흥동)",031-756-7567,시흥동,외과
삼성탑내과의원,"경기도 성남시 수정구 산성대로 267, 411~418호, 426호 (신흥동)",031-745-8875,신흥동,내과
미래로마취통증의학과의원,"경기도 성남시 수정구 산성대로 537, 1,2,5층 (양지동)",031-733-7575,양지동,마취통증의학과
좋은산부인과의원,"경기도 성남시 수정구 위례동로 153, 에이플타워 5층 509호 (창곡동)",031-753-5793,창곡동,산부인과
아폴로치과의원,"경기도 성남시 수정구 창업로 18, 3층 306호 (시흥동)",031-722-0428,시흥동,치과
아이편한소아치과의원,"경기도 성남시 수정구 산성대로 267, 501, 502, 535호 (신흥동)",031-604-2888,신흥동,치과
서울에스(S)퍼스트치과의원,"경기도 성남시 수정구 수정로 131, 2층 203호 (태평동, 낙원스카이뷰)",031-721-2879,,치과
탑플란트치과의원,"경기도 성남시 수정구 수정로 200, 3층 (신흥동)",031-751-2080,신흥동,치과
